usuario,tweet
['lopezdoriga'],"Joaquín López-Dóriga
@lopezdoriga
·
10 jun.
El que no se iba a meter en el proceso interno de Morena dijo que cualquiera de las 'corcholatas' es garantía de continuidad de la 4T.

https://bit.ly/43s8bJY
149
83
300
36,4 mil"
['Pajaropolitico'],"Animal Político
@Pajaropolitico
·
10 jun.
#OJO | Páginas en Facebook que promocionan a las ‘corcholatas’ de Morena de cara a las elecciones de 2024 acumulan desde 2022 un gasto de al menos 5 millones de pesos en anuncios para amplificar su contenido.
animalpolitico.com
Elección 2024: Gastan 5 mdp en promoción de 'corcholatas'
Páginas en Facebook promocionan a las ‘corcholatas’ de Morena de cara a las elecciones de 2024. Acumulan un gasto de 5 millones de pesos.
7
186
266
19,7 mil"
['beltrandelrio'],"Pascal
@beltrandelrio
·
42min
Está previsto que entre las reglas que al rato “definirá” el Consejo Nacional de Morena (entrecomillo el verbo porque la definición ya la hizo YSQ), estará que el 2o y 3er lugar de la encuesta entre corcholatas serán los coordinadores de la bancada de senadores y diputados (1/3)
16
106
342
25,7 mil
Mostrar este hilo"
"['Pajaropolitico', 'ElSabuesoAP']","Animal Político
@Pajaropolitico
·
9 jun.
#HoyEnAnimal | ¡Grr! La naricita de 
@ElSabuesoAP
 descubrió que páginas en Facebook que promocionan a las ‘corcholatas’ de Morena acumulan desde 2022 un gasto de al menos 5 millones de pesos en anuncios para amplificar su contenido.
animalpolitico.com
Elección 2024: Gastan 5 mdp en promoción de 'corcholatas'
Páginas en Facebook promocionan a las ‘corcholatas’ de Morena de cara a las elecciones de 2024. Acumulan un gasto de 5 millones de pesos.
5
104
179
13,3 mil"
['StepLavalle'],"Stephany Lavalle
@StepLavalle
·
6 jun.
AMLO CENÓ HOY CON LAS CORCHOLATAS DE MORENA
#amlo #AMLOElMejorPresidenteDelMundo #AMLOvers #obrador #Claudia #MarceloEbrard #adanaugusto #noroña  #NoroñaEsPueblo #ricardomonreal
21
67
325
8.648"
"['catrina_nortena', 'm_ebrard', 'Claudiashein']","La Catrina Norteña
@catrina_nortena
·
5 jun.
#LaMalOlienteEresTúDresser 
 ULTIMÁTUM para 
@m_ebrard
AMLO se reúne para cenar con gobernadores de Morena y las Corcholatas. Esto debido a que Ebrard No quiere respetar las reglas ya establecidas para elegir a la candidata/o Presidencial de la 4T.

Está 
@Claudiashein
, Marcelo,… Mostrar más
247
881
2.461
210,5 mil"
['Vianeicita'],"Vianey
@Vianeicita
·
35min
No entiendo como el gobernador de un estado como Durazo también sea el pdte del consejo de Morena. Digo, en las últimas semanas ha estado más ocupado por la grilla de las corcholatas q por su estado, para mi los gobernantes deberían dedicarse exclusivamente al pueblo q los eligió
6
10
22
444"
['DDConfianza'],"DDC+
@DDConfianza
·
9 jun.
 #ULTIMAHORA  Se filtra video de Mayito Delgado revelando el método de selección de candidat@ presidencial en #Morena ¡Y las corcholatas NO LO SOPORTAN! Bueno, una sí…

Míralo y compártelo .
8
12
796"
['bereaguilarv'],"Bere Aguilar
@bereaguilarv
·
2h
Llegó el día de las definiciones para las cuatro corcholatas presidenciales en el Consejo Nacional de Morena y, si bien se abordarán varios temas relevantes como las renuncias a sus actuales cargos, falta ver si hoy mismo se resolverá un asunto crucial: cómo será la encuesta para… Mostrar más
6
16
69
2.031"
['LauraBruges'],"Laura Brugés
@LauraBruges
·
7 jun.
 El movimiento de las 4 corcholatas de #Morena y anexos va a generar una cascada de movimientos y enroques importantes, tanto en el gabinete de #AMLO como en las gubernaturas y en el Poder Legislativo  

  Vamo a ve…
12
75
297
25,9 mil
Mostrar este hilo"
['JJDiazMachuca'],"José Díaz
@JJDiazMachuca
·
10 jun.
Lanzan cargada los gobernadores de Morena que tienen ensangrentado a México 
López Obrador cambió el sistema del tapado directo. 
Destapó cuatro corcholatas para simular el dedazo.
6
14
28
1.595"
['LuisAvi47104906'],"Luis Avila
@LuisAvi47104906
·
2min
AHORA MORENA ES EL GRAN PARTIDO DEL PUEBLO DE MÉXICO.

POR FAVOR CORCHOLATAS HAGAN POLÍTICA DE ALTURA, DE UNIDAD, DE VERDADERO TRABAJO, CUIDEN EL PROYECTO DE NACIÓN. 

QUE NO GANE LA AMBICION DE PODER PERSONAL, HAY QUE RESPETAR LO GANADO.

SEAN LEALES CON LOS IDEALES.
1"
"['alfredolez', 'heraldodemexico']","Alfredo González
@alfredolez
·
1h
#FelizDomingo… El 
@heraldodemexico
 :

 Inicia pasarela de corcholatas en Morena
 Reporta el INEGI: la mitad de los jóvenes en la CDMX tiene trabajo
 Más que el salario, recomiendan a jóvenes recién egresados garantizar su integridad

 http://bit.ly/34ubeFD
1
1
5
251"
"['Radio_Formula', 'AngelAvilaPRD']","Grupo Fórmula
@Radio_Formula
·
2 jun.
Ángel Ávila (
@AngelAvilaPRD
), representante del PRD ante el Consejo General de INE, explica que las ‘corcholatas’ de Morena deben de dejar de violar la ley al realizar campañas anticipadas: El INE está poniendo límites a estas actividades ilegales. #PorLaMañana
16
102
336
35,1 mil"
['won2skel'],"⫷ 𝘚𝘒𝘌𝘓 ⫸
@won2skel
·
5 jun.
Pues a pesar de su gran derrota EL PRI-PAN-PRD seguirán juntos porque están SEGUROS que ganaran la presidencia en el 2024  según alito Alejandro Moreno y Marko Cortes ni se acerquen las corcholatas de morena pues no son dignos de su mov.  #VotoMasivoMorena2023Y2024
24
187
264
11,9 mil"
['DDConfianza'],"DDC+
@DDConfianza
·
26min
¡No esperes hasta el Consejo Nacional Morena para conocer los requisitos para el destape de corcholatas! 

Aquí Mayito te dice qué necesitan Marcelo, Adán, Ricardo y hasta Noroña si contra Claudia quieren participar.   

#ComoAnilloAlDedo
De 
DDC+
2
119"
['latinus_us'],"Latinus
@latinus_us
·
2h
El Consejo Nacional de Morena determinará el destino de las “corcholatas” de AMLO rumbo a 2024.
#Latinus #InformaciónParaTi
latinus.us
El Consejo Nacional de Morena determinará el destino de las ""corcholatas"" de AMLO rumbo a 2024
El dirigente de Morena, Mario Delgado, acudirá a la sesión, sin embargo, lo hará en calidad de invitado junto con militantes distinguidos
15
6
56
13,4 mil"
['RedAMLOmx'],"Coordinación Nacional (#RedAMLO)
@RedAMLOmx
·
11h
Las corcholatas de morena

#ClaudiaPresidenta   https://twitter.com/SheffieldGto/status/1667737678752763904…
Este Tweet no está disponible.
3
12
21
823"
['Oti_Carvajal'],"Otilia Carvajal
@Oti_Carvajal
·
17h
 Entrevista con la consejera Claudia Zavala, presidenta de la Comisión de Quejas y Denuncias del INE 

Señala que las ""corcholatas"" de Morena pueden seguir siendo investigadas por actos anticipados de precampaña y campaña.

No importa que se separen del cargo 
1
4
13
561
Mostrar este hilo"
['neoliberalover'],"Neoliberalover
@neoliberalover
·
4 jun.
Hoy puede ser una noche triste para morena, hoy las corcholatas de López estarían perdiendo la presidencia anticipadamente.

Parece un día común, pero hoy los mexiquenses tienen en sus manos el destino de todo el país.

Si con los 12.6 millones de electores ejerciendo su derecho… Mostrar más
64
487
2.059
77,4 mil"
"['politicomx', 'lopezobrador_']","Político MX
@politicomx
·
9 jun.
Habitantes de San Luis Potosí le pidieron al presidente Andrés Manuel 
@lopezobrador_
 que se sume a la lista de “corcholatas” de Morena.
politico.mx
Le piden a AMLO que se sume a lista de ‘corcholatas’ y se reelija
Los habitantes de la localidad de El Pujal, le pidieron a AMLO que se sume a la lista de “corcholatas”
71
69
195
21,8 mil"
['RICARDOJN14'],"RICARDO JN
@RICARDOJN14
·
7 jun.
Noroña desconsolado porque el compañero presidente no lo invitó a la cena de corcholatas de Morena y no maneja tanto cash como Marcelo y Claudia
No se aprendió del sectarismo de Coahuila aunque lo niegue Epigmenio Ibarra
Hasta tuvo pesadillas!
#LibertadDeExpresión
#FelizMiercoles
11
33
49
4.187"
"['Radio_Formula', 'lopezobrador_']","Grupo Fórmula
@Radio_Formula
·
5 jun.
 Gobernadores de Morena, 'corcholatas' y la dirigencia del partido se tomaron la foto luego de la reunión con el presidente  
@lopezobrador_
: asistieron Claudia Sheinbaum, Delfina Gómez, Layda Sansores, Ricardo Monreal, Mario Delgado... 

 : Enrique Hernández
16
25
48
15,5 mil"
['mario_dico50'],"Mario Di Costanzo
@mario_dico50
·
7 jun.
Lo primero que habría que preguntarnos es ; de que van a vivir un año las corcholatas de Morena que renuncien ? Porque ya vimos que vivir “con 200 pesos” en la bolsa, no es necesariamente sinónimo de honestidad .
184
191
466
13 mil"
['Jana_Rey'],"Alejandra Rey
@Jana_Rey
·
5 jun.
Ya casi inicia la 4Temporada ¿Quién creen que quede? 
#Succession #4T #carrerapresidencial #corcholatas #morena #Mexico
4
27
65
5.660"
"['JJDiazMachuca', 'lopezobrador_']","José Díaz
@JJDiazMachuca
·
5 jun.
·
LÓPEZ OBRADOR VA A IMPONER EL DEDAZO DEL PRESIDENCIALISMO
Decía que las cosas ya no eran igual 
El Presidente 
@lopezobrador_
 se reúne esta noche con sus corcholatas y sus  dirigentes de Morena en un restaurante del Centro Histórico de CDMX.
47
145
181
11,2 mil"
"['lajornadaonline', 'PartidoMorenaMx', 'adan_augusto']","La Jornada
@lajornadaonline
·
16h
Hay 22 gobernadores de 
@PartidoMorenaMx
 y solo se pronunciaron 7, no es mayoría, dijo 
@adan_augusto
 , aclaró que esperará para definir fecha de su renuncia y las acciones a fin de continuar en la pugna por la presidencia del país. #corcholatas
jornada.com.mx
En Morena no hay “cargada”: Adán Augusto López
Aseguró que sólo seis gobernadores han expresado públicamente su simpatía por Sheinbaum, razón por la que “no es la mayoría ni son varios”.
12
85
209
12,9 mil"
['Melissa_Bely'],"Melissa
@Melissa_Bely
·
3 jun.
Las Corcholatas sabiendo que en el INE ya no les harán nada, la veda Electoral se la pasan por el ""arco del triunfo""..



""SE LOS advirtió el INE, se los dijo la dirigencia de Morena y aun así las corcholatas presidenciales no desaprovechan cualquier oportunidad para… Mostrar más
5
45
78
4.168"
"['politicomx', 'VelascoM_', 'Claudiashein', 'm_ebrard', 'RicardoMonrealA', 'fernandeznorona']","Político MX
@politicomx
·
7 jun.
#PMX2024 | Se espera que Manuel Velasco (
@VelascoM_
) acuda al Consejo Nacional de Morena en el que participarán las “corcholatas” de Morena (
@Claudiashein
, 
@m_ebrard
, 
@RicardoMonrealA
) así como el diputado del PT, 
@fernandeznorona
.
politico.mx
Elecciones 2024. Manuel Velasco pide licencia al Senado para buscar candidatura presidencial
Hasta el momento, se conoce que la licencia del senador Velasco ya se encuentra inscrita en Servicios Parlamentarios.
2
6
1.195"
"['politicomx', 'fernandeznorona', 'lopezobrador_']","Político MX
@politicomx
·
7 jun.
Mario Delgado se reúne con Noroña

Luego de que 
@fernandeznorona
 reclamó al presidente 
@lopezobrador_
 por no invitarlo a la cena de ‘corcholatas’, el líder de Morena lo invitó al Consejo Nacional donde se establecerá la ruta para el 2024. “Nuestro reconocimiento y cariño a Noroña… Mostrar más
40
47
254
303,7 mil"
['bereaguilarv'],"Bere Aguilar
@bereaguilarv
·
8 jun.
El carcamal insensato, cínico, incoherente y mitómano pretende reunirse con los consejeros del #INE para pedirles que actúen con imparcialidad de cara al 2024. ¿Quién adelantó los tiempos electorales? ¿Quién llama al voto a favor de Morena y deja que sus corcholatas hagan campaña… Mostrar más
80
393
896
23,9 mil"
"['politicomx', 'm_ebrard', 'lopezobrador_']","Político MX
@politicomx
·
5 jun.
.
@m_ebrard
 sale del cónclave de morenistas

El canciller abandono el restaurante donde fueron convocadas las 'corcholatas' y los gobernadores emanados de Morena, minutos después de que el presidente 
@lopezobrador_
 hizo lo propio, en su camino a su vehículo no quiso dar… Mostrar más
0:38
13
68
237
144,2 mil"
"['Reporte_Indigo', 'lopezobrador_']","Reporte Índigo
@Reporte_Indigo
·
5 jun.
 #Entérate | Bajo la lluvia y a pie, 
@lopezobrador_
 caminó de Palacio Nacional a un restaurante del Zócalo para reunirse con las corcholatas, dirigentes y gobernadores de #Morena
18
24
70
36,8 mil
Mostrar este hilo"
"['Francis20772291', 'MaximusCentauro', 'MaximusCentauro']","Cartoon Cartón
@Francis20772291
·
2min
Así es 
@MaximusCentauro
, las cuentas que se presumen de oposición, son las que más promueven a las corcholatas y el proceso de morena, sacan encuestas y hasta las ponen como opción como candidatos de oposición.
Centauro...
@MaximusCentauro
·
2h
¿Y si la oposición ciudadana dejamos de hablar del proceso de las corcholata destapadas?, nos enfocamos en la falta de resultados en cada rubro que no cumplió o empeoró el presimiente y damos atención al proyecto de mejora, con el candidato elegido x ciudadanos en la alianza...
3
17"
"['AngelBoligan', 'El_Universal_Mx', 'Univ_Opinion']","Angel Boligan
@AngelBoligan
·
10 jun.
-LA SOMBRA 
@El_Universal_Mx
 @Univ_Opinion
 #precampañas #precandidatos #corcholatas #morena #carrera #sombraimpaciente
17
56
1.103"
['azucenau'],"Azucena Uresti
@azucenau
·
5 jun.
#AzucenaALas10 | Las “corcholatas”, gobernadores y el dirigente de #MORENA, Mario Delgado, se reúnen esta noche con el presidente López Obrador en un restaurante  

Sin dar muchos detalles, así llegaron los asistentes
6
18
82
13,4 mil
Mostrar este hilo"
['El_Universal_Mx'],"El Universal
@El_Universal_Mx
·
6 jun.
""Ningún retazo de Morena tiene cabida en la coalición Va por México. No le abre su puerta al oportunismo"", afirmó Marko Cortés
eluniversal.com.mx
Va por México advierte que no aceptará ""retazos"" de corcholatas de Morena
Marko Cortés, advirtió AMLO que no se le ocurra fingir un pleito con alguna corcholata, para que quieran imponerlo como candidato de oposición
106
51
219
51,7 mil"
"['Jacovich_GMA', 'PePeSoyYo13']","Jacovich GMA
@Jacovich_GMA
·
7 jun.
La solución para salvar a México: #CacasObrador a su finca ""La Chingada"" en Palenque, Chiapas. Morena se auto-destruirá cuando empiecen los golpes bajos entre las corcholatas. Una ""manita"" de Joe Biden presionando y exhibiendo a Anlo. Cambio de dirigentes en PAN, PRI y PRD.
PepeSoyYo13 𝔏𝔦𝔤𝔞𝔇𝔢𝔊𝔲𝔢𝔯𝔯𝔢𝔯𝔬𝔰
@PePeSoyYo13
·
7 jun.
Saben para cuándo México, tendrá nuevamente el estado de derecho.
𝔏𝔦𝔤𝔞𝔇𝔢𝔊𝔲𝔢𝔯𝔯𝔢𝔯𝔬𝔰
#FiscaliaCorrupta
#ElCartelDeErnestina
#QueRenuncienLosDirigentes
#UnidosLoPodemosLogar
#YoConTaboada
#YoSiLeCreoATaboada
#LigaDeGuerreros
5
10
344"
['ErnestoGuerra_'],"Ernesto Guerra | #ÚltimaLegislativa
@ErnestoGuerra_
·
7 jun.
| #ÚLTIMOMINUTO 

Si el acuerdo entre AMLO y las ‘corcholatas’ era renunciar después de este domingo que hubiese el Consejo de Morena y se fijaran las reglas, fechas y el método de selección, entonces Marcelo Ebrard se adelantó mediáticamente con su renuncia.

10 puntos:
#SpaceLegislativo y 3 más
6
53
258
34,1 mil
Mostrar este hilo"
['villarreal56'],"Rogelio Villarreal
@villarreal56
·
7 jun.
¡Pronto! Luchas en estiércol de las corcholatas presidenciales... En el Gran Chiquero de Morena. ¡No te lo pierdas!
1
2
20
351"
['RahulkMex'],"RaHulk 
@RahulkMex
·
3 jun.
El 30 de mayo, el INE ordenó a Morena a frenar la promoción anticipada a sus candidatos, incluidas las ""corcholatas"" que buscan relevar a López Obrador, a retirar la propaganda y pedir a sus simpatizantes que no realicen actos de promoción que afecten la equidad electoral.
8
80
95
3.280"
"['Radio_Formula', 'mario_delgado', 'JoseCardenas1']","Grupo Fórmula
@Radio_Formula
·
6 jun.
 El dirigente de Morena 
@mario_delgado
 dice que la renuncia de Marcelo Ebrard llevará a que dejen sus cargos las otras 'corcholatas' para garantizar la equidad en la elección del candidato o candidata del partido. #Informa con 
@JoseCardenas1
   
#RadioFórmulaMx… Mostrar más
25
104
207
37,6 mil"
"['Excelsior', 'lopezobrador_']","Excélsior
@Excelsior
·
1h
 Previo al cónclave de la cúpula de #Morena de este domingo, el presidente 
@lopezobrador_
 llamó a quienes ha definido como sus corcholatas a cerrar filas y no dividir al movimiento.
excelsior.com.mx
Nada de división, exhorto a corcholatas
Una vez aprobadas las reglas de la contienda, los aspirantes a la candidatura presidencial de Morena recorrerán el país durante tres meses en busca de apoyos
2
7
3.279"
"['Nerilicon', 'eleconomista']","Nerilicón
@Nerilicon
·
7 jun.
Destapándose. 
@eleconomista
 #MarceloEbrard #SRE #corcholatas #Renuncia #Elecciones2024 #Morena #CuartaTransformación
1
52
140
1.470"
"['politicomx', 'lopzobrador_', 'MarkoCortes']","Político MX
@politicomx
·
5 jun.
Va por México le cierra las puertas a 'corcholatas' de Morena

""Que ni se le vaya a ocurrir al presidente @lopzobrador_ fingir un pleito con alguna de sus 'corcholatas', ninguna será candidata"", 
@MarkoCortes
 advirtió que su alianza no recibirá a ningún político de la 4T para 2024
48
31
45
12,7 mil"
['antonio09464741'],"antonio Velázquez
@antonio09464741
·
8 jun.
Buenos días  una pregunta  porque las corcholatas de Morena ninguno quiere renunciar! 
Porque piden licencia!
Tendrán miedo a no seguir recibiendo pago sin trabajar! 
O quieren chingar por los dos lados cómo siempre.
#TwisterPolitico 
#MorenaDestruyendoAMexico
8
34
40
619"
['Jannet_LP'],"Jannet López Ponce
@Jannet_LP
·
43min
Morena define el rumbo 2024 hoy.

Y como la unidad no está garantizada ni el método consensuado entre las 'corcholatas', se prevén:

Candados, condiciones, renuncias, cartas compromiso para aceptar los resultados y hasta prohibir el ingreso de celulares.
milenio.com
Morena va por renuncias inmediatas y carta compromiso para 2024
Analizan prohibir celulares, reunión será a puerta cerrada y las 'corcholatas' no tendrán posicionamientos públicos junto a líderes del partido.
1
4
297"
"['Enea_Salgado', 'mario_delgado']","Enea Salgado
@Enea_Salgado
·
5 jun.
Qué chinga le metió la Alianza a Morena en Coahuila. 

36 puntos de ventaja

Ricardo Mejía sale victorioso frente a un Guadiana que tuvo el apoyo de corcholatas y del partido oficial que lo saboteó hasta el final.

Gran derrota para AMLO y su achichincle 
@mario_delgado
. Celebro
5
14
83
2.813"
"['CallejeroPue', 'PartidoMorenaMx']","Callejero Noticias
@CallejeroPue
·
1h
#Nacional  Este día es una fecha importante para  
@PartidoMorenaMx
, su Consejo Nacional establecerá las reglas para pasar de #Corcholata a #candidata o #candidato rumbo a las presidenciales, más o menos así está el panorama 
callejero.mx
El Consejo Nacional de Morena hoy decide los requisitos para las corcholatas - Callejero
Este domingo, el Consejo Nacional de Morena, conformado por más de 300 miembros, incluyendo gobernadores y gobernadoras, llevará a cabo una votación para establecer los requisitos que los aspirantes...
1
1
84"
"['AnaJVillagran', 'lasillarota', 'OpinionLSR', 'GobCDMX', 'OpinionLSR', 'AnaJVillagran']","Ana J Villagrán
@AnaJVillagran
·
22h
Léanme en 
@lasillarota
 @OpinionLSR
 
Morena con sus actos anticipados no solo trae de cabeza a sus corcholatas, también pondrá de cabeza al 
@GobCDMX
 Opinión La Silla Rota
@OpinionLSR
·
22h
Te invitamos a leer la columna de Ana Villagrán ""De Claudia, su renuncia y el 2024""  @AnaJVillagran #OpiniónLSR http://bit.ly/3oTKYBw
1
4
19
1.693"
['Forbes_Mexico'],"Forbes México
@Forbes_Mexico
·
5 jun.
 #ÚltimaHora | Tras ganar el Estado de México, AMLO tiene encerrona con ‘corcholatas’ y gobernadores de Morena: http://bit.ly/3CdAEap
GIF
4
8
56
21,8 mil
Mostrar este hilo"
['RicardoAlemanMx'],"Ricardo Alemán
@RicardoAlemanMx
·
6 jun.
Monreal afirmó que ninguna de las corcholatas buscaría sumarse a Va por México tras ser rechazadas en Morena.
laotraopinion.com.mx
“Ninguna corcholata, en su sano juicio, se sumaría a la oposición ”: Monreal - La Otra Opinión
“Ninguna corcholata, en su sano juicio, se sumaría a la oposición ”: Así le contestó el senador de Morena, Ricardo Monreal a ""Alito""
74
16
66
6.695"
