usuario,tweet
"['MarcoA_Olvera', 'adan_augusto', 'lopezobrador_', 'JesusRCuevas']","Marco Antonio Olvera
@MarcoA_Olvera
·
9 jun.
Sostiene Adán Augusto López deseo por continuar obra transformadora de #AMLO 
@adan_augusto
 @lopezobrador_
 @JesusRCuevas
 
#Chiapas #Sureste #Corcholatas #Morena 
Nota: 
https://hidalgonews.mx/sostiene-adan-augusto-lopez-deseo-por-continuar-obra-transformadora-de-amlo/…
2
4
3.684"
"['EjeCentral', 'lopezobrador_']","EjeCentral
@EjeCentral
·
17h
#EjeDeportes El Presidente (
@lopezobrador_
) llamó a la unidad al interior de #Morena y recordó a las #Corcholatas que no se trata de una lucha para conseguir cargos públicos http://bitly.ws/HYEt
488"
"['Almomento4T', 'mario_delgado']","Al Momento 4T
@Almomento4T
·
6 jun.
·
 El partido #Morena definirá requisitos para “corcholatas” este domingo, informó el dirigente 
@mario_delgado
.
1
20
33
867"
"['7Adrix', 'CiroGomezL']","Adriana Pérez
@7Adrix
·
9 jun.
#ImagenNoticias 
@CiroGomezL
 
Parece el noticiero exclusivo de morena y sus corcholatas. Vaya manera de estar promoviendo a la instalación de un maximato con personajillos genocidas y corruptos.
1
1
7
48"
"['LaListanews', 'PartidoMorenaMx', 'RicardoMonrealA']","La-Lista
@LaListanews
·
15h
El coordinador de los senadores de 
@PartidoMorenaMx
, 
@RicardoMonrealA
, dio a conocer que si el Consejo Nacional del partido aprueba los lineamientos para la contienda interna, los funcionarios tendrán que dejar de apoyar a su “corcholata” favorita.
la-lista.com
Con lineamientos de Morena, nadie podrá apoyar a las 'corcholatas': Monreal
Ricardo Monreal dio a conocer que si el Consejo Nacional de Morena aprueba lineamientos, no podrán haber expresiones de apoyo.
3
15
37
1.621"
"['Adela_Micha', 'm_ebrard', 'Claudiashein', 'adan_augusto', 'RicardoMonrealA']","Adela Micha
@Adela_Micha
·
7 jun.
Si Morena establece como un requisito para la encuesta renunciar al cargo, el balance de la gestión de 
@m_ebrard
, 
@Claudiashein
, 
@adan_augusto
 y 
@RicardoMonrealA
 se convertirá en su mejor carta de presentación... o en una condena  
youtube.com
EBRARD METE PRESIÓN A LAS ""CORCHOLATAS"" | EDITORIAL DE ADELA MICHA
#AdelaMicha #AMLO #Ebrard #corcholatas #sheinbaum Marcelo Ebrard ya tiene fecha de renuncia a la Cancillería y eso pone al resto de las corcholatas en un esc...
10
68
9.834"
"['SinLinea_Mx', 'MalthusGamba']","SinLínea.Mx
@SinLinea_Mx
·
8 jun.
""Desde ayer se ve un movimiento generalizado en redes sociales, donde las posturas políticas comienzan a definirse en favor o en contra de las tres “corcholatas” de Morena que aspiran a la candidatura del partido"".

Por 
@MalthusGamba
sinlineamx.com
¡SANTA SIMPLICIDAD! -
Comparte este ArtículoLa frase de Jan Hus expresada cuando su cuerpo comenzaba a padecer los dolores del martirio en la hoguera, es utilizada para calificar acciones que se realizan de manera...
9
105
312
4.339"
"['FAFierroP', 'LaJornada', 'LaJornada', 'monerohernandez', 'PartidoMorenaMx', 'FAFierroP', 'SRE_mx', 'lopezobrador_']","FELIPE ÁNGEL FIERRO P.
@FAFierroP
·
8 jun.
FUERA-Hernández-
@LaJornada
-
@LaJornada
 
@monerohernandez
  
Estampida de Corcholatas 
#Elecciones2024 #corcholatas 
@PartidoMorenaMx
 #Morena #RedAMLO 
https://jornada.com.mx/2023/06/08/cartones/3…
FELIPE ÁNGEL FIERRO P.
@FAFierroP
·
6 jun.
#ULTIMAHORA 
""He resuelto solicitar y presentar mi renuncia a la @SRE_mx  a partir del lunes 12 de junio, con el propósito de dedicarme de lleno, con alegría y resolución a defender el proyecto que encabeza el Presidente @lopezobrador_ "". #MarceloEbrard 
Mostrar este hilo
2
13
16
430"
['salarmarquito2'],"Marco Salas 4T
@salarmarquito2
·
8 jun.
El futuro de México está en MorenaLa carrera presidencial ya inició y con ello, las reglas deben de estar claras. Alfonso Durazo ha dicho que pedirá que todas las corcholatas renuncien a su cargo y propone una fecha límite, ¿Qué opinan de todo esto?
20
24
269"
"['MarcoA_Olvera', 'Claudiashein', 'mario_delgado', 'PartidoMorenaMx']","Marco Antonio Olvera
@MarcoA_Olvera
·
9 jun.
Sheinbaum: Las obras comprometidas en #CDMX serán terminadas
@Claudiashein
 @mario_delgado
 @PartidoMorenaMx
 
#Corcholatas #Morena 
Nota: 
https://hidalgonews.mx/sheinbaum-las-obras-comprometidas-en-cdmx-seran-terminadas/…
3
2
116"
['NachoRgz'],"Nacho Rodriguez (El Chapucero)
@NachoRgz
·
5 jun.
Bueno ahí les va DE NUEVO el consejo más importante ahorita que ya arrancó la precampaña real para la candidatura de MORENA: NO SE PELEEN CON LAS CORCHOLATAS QUE NO LES CAIGAN BIEN. Si no les pagan por ello, NO AGARREN BRONCAS GRATUITAS, porque al final los de arriba pactan y… Mostrar más
58
134
543
31,4 mil"
['beautyBermudez'],"Cam Bermudez #ProAMLO Ayala
@beautyBermudez
·
8 jun.
Las cosas cada vez están más claras: TODAS las corcholatas tienen que renunciar a su cargo; no se puede servir a dos amos al mismo tiempo y en Morena no puede ser la excepción.
Estaremos muy atentos a lo que se hable el próximo domingo en el partido, ¿Qué piensan? 
3
14
15
183"
"['pedrogerardo26', 'adan_augusto', 'SEGOB_mx']","Pedro Gerardo López
@pedrogerardo26
·
9 jun.
En una tarde de “confesiones”, 
@adan_augusto
 secretario de 
@SEGOB_mx
 se despide en #Chiapas, “vamos a hacer todo para que se le vuelva a hacer al sureste de México”;
La próxima semana “Las corcholatas”, dejarán sus cargos en busca de la candidatura de #MORENA a presidente.
1:49
5
3
259"
['MascaraMagica_'],"Mascara Magica
@MascaraMagica_
·
8 jun.
AMLO, en su Conferencia de prensa, da los nombres de las corcholatas que estarán en la encuesta para ser el candidato de Morena-PT-Verde, para el 2024.
Ebrard, Sheinbaum, Adán Augusto, Monreal, Manuel Velasco y Noroña (Loroña como le dice AMLO).
Será de pronóstico reservado...
1
6
9
1.164"
['rociojimenez15'],"Rocío Jiménez Mtz.
@rociojimenez15
·
33min
#Morena va por renuncias inmediatas y carta compromiso para evitar fractura hacia el 2024

Analizan prohibir celulares, reunión será a puerta cerrada y las corcholatas no tendrán posicionamientos públicos junto a líderes del partido.
amp.milenio.com
Morena va por renuncias inmediatas y carta compromiso para 2024
Analizan prohibir celulares, reunión será a puerta cerrada y las 'corcholatas' no tendrán posicionamientos públicos junto a líderes del partido.
2
1
68"
['Raulortegamora'],"Troquero Politico
@Raulortegamora
·
6 jun.
El domingo 11 de junio se reunirá el Consejo de morena y las corcholatas para comenzar a planificar la elección del próximo candidato a la presidencia 20 24 
2
4
8
245"
['ReporterosMX_'],"Los Reporteros MX
@ReporterosMX_
·
5 jun.
#ÚltimaHora| #Vídeo | AMLO sale de Palacio Nacional para cenar con ""las corcholatas"" en el restaurante Terraza Porrua; trasciende que también acudieron gobernadores y gobernadoras de Morena así como Delfina Gómez Álvarez.
3
62
149
6.563
Mostrar este hilo"
['porMexico15'],"Anna
@porMexico15
·
8 jun.
¿AMLO dio espaldarazo a Ebrard? Pide a ‘corcholatas’ de Morena renunciar a sus cargos

Sabe que sería la única persona de su lado, que podría darle un poco de pelea a otros candidatos. En el fondo reconoce y sabe que Claudia Claudia no tiene personalidad
elfinanciero.com.mx
¿AMLO dio espaldarazo a Ebrard? Pide a ‘corcholatas’ de Morena renunciar a sus cargos
La propuesta de renunciar a los cargos públicos para las elecciones 2024 ha sido planteada por Ebrard.
2
4
7
332"
['emeequis'],"Emeequis
@emeequis
·
7 jun.
Ante la ambigüedad de Sheinbaum y Adán Augusto, el presidente López Obrador afirma que, si el Consejo de Morena lo aprueba, todas las ""corcholatas"" deben renunciar.
m-x.com.mx
AMLO: Que renuncien todas las “corcholatas”… si el Consejo de Morena lo aprueba
Tras el anuncio de Marcelo Ebrard de su renuncia, y la ambigüedad de Adán Augusto y Claudia Sheinbaum, AMLO dice, categórico: “Si en el Consejo de Morena se aprueba el que deben de renunciar, pues...
2
15
23
3.100
Mostrar este hilo"
['DonVocero'],"Vocero
@DonVocero
·
7 jun.
Le han metido lana a espectaculares, bardas y propaganda que ya fue sancionada por el INE
elpais.com
Morena ordena a las ‘corcholatas’ dejar de promoverse en anuncios y giras a los Estados
El partido en el Gobierno acata la orden del INE de poner freno a la campaña anticipada de los aspirantes presidenciales, pero afirma que no está de acuerdo con la medida
1
14
159
2.744
Mostrar este hilo"
"['politicomx', 'Mario_Delgado', 'm_ebrard']","Político MX
@politicomx
·
6 jun.
#PMX2024 I “Creo que no hay nada más equitativo”; 
@Mario_Delgado
 aprobó el anuncio de 
@m_ebrard
 sobre su renuncia para iniciar con el proceso de selección de candidatura de Morena en las elecciones del 2024.
politico.mx
Mario Delgado rechazó que AMLO haya ordenado a 'corcholatas' en reunión presentar sus renuncias
El dirigente de Morena dijo que la renuncia de los aspirantes hará que haya equidad de condiciones
2
7
16
1.798"
['soprano_tonny'],"Tonny soprano
@soprano_tonny
·
1h
Las ‘corcholatas’ afrontan su primera prueba de fuego ante el gran cónclave de Morena que definirá las reglas de la batalla interna – Llegan a la cita decisiva con un Consejo Nacional del partido con los focos de poder muy repartidos
moviendo-ideas.com.mx
Las ‘corcholatas’ afrontan su primera prueba de fuego ante el gran cónclave de Morena que definirá...
Los aspirantes presidenciales llegan a la cita decisiva con un Consejo Nacional del partido con los focos de poder muy repartidos y con poco margen para imponer unos requisitos ya marcados por el...
2
519"
['Revolucion3_0'],"Revolución 3.0
@Revolucion3_0
·
6 jun.
AMLO se reúne con las corcholatas de Morena, les pide respetar los resultados de la encuesta que decidirá al candidato o candidata a la presidencia en 2024
revoluciontrespuntocero.news
AMLO anuncia que no inclinará la balanza a favor de alguna corcholata de Morena - Revolución 3.0
El Presidente Andrés Manuel López Obrador, reveló que no inclinará la balanza en favor de alguna corcholata de Morena. “Al carajo la imposición y las
1
2
10
567"
"['politicomx', 'RicardoMonrealA', 'm_ebrard']","Político MX
@politicomx
·
7 jun.
#PMX2024 I El líder de los senadores morenistas, 
@RicardoMonrealA
 dijo que el anuncio de 
@m_ebrard
 para renunciar a su cargo a la Cancillería es parte de una estrategia política, y afirmó que el canciller rompió un acuerdo entre las cuatro 'corcholatas'.
politico.mx
Monreal revela que Ebrard rompió acuerdo para dejar cargos después del Consejo Nacional de Morena
En la cena con AMLO se habría puesto sobre la mesa la fecha para dejar los cargos y buscar la candidatura de Morena.   
8
4
1.562"
['uniradionoticia'],"UniradioNoticias
@uniradionoticia
·
9 jun.
AMLO calla sobre acuerdo de ""corcholatas"" para elegir el candidato de Morena
uniradioinforma.com
AMLO calla sobre acuerdo de ""corcholatas"" para elegir el candidato de Morena - Uniradio Informa
En su gira de trabajo por San Luis Potosí, el presidente evitó hablar del método de elección, anunciado por Claudia Sheinbaum
154"
['politicusmx'],"Politicus.mx
@politicusmx
·
9 jun.
Así está la fuerza de las ""#corcholatas"" en el Consejo Nacional de #Morena .-
http://politicus.mx/vernoticia.php?n=6785…
1
32"
"['Riodoce_mx', 'RicardoMonrealA']","Ríodoce
@Riodoce_mx
·
15h
#RicardoMonreal | El senador 
@RicardoMonrealA
 , una de las #corcholatas de #Morena, afirmó que el favoritismo hacia externos y la segregación a la militancia a cargos públicos se va a acabar.
riodoce.mx
'El favoritismo se va acabar': Monreal - Ríodoce
Ricardo Monreal, una de las “corcholatas” de Morena, afirmó que el favoritismo hacia externos y la segregación a la militancia a cargos públicos se va a
1
1
447"
['heraldomx_ags'],"El Heraldo de México Ags
@heraldomx_ags
·
1h
#Nacional I Corcholatas de Morena llegan en unidad para definir reglas y método para elegir candidato

#HeraldoMxAGS
heraldodemexico.com.mx
Morena pone pasarela decisiva a las corcholatas de AMLO
Corcholatas de Morena llegan en unidad para definir reglas y método para elegir candidato
3"
['DiarioImagen'],"Diario Imagen
@DiarioImagen
·
9 jun.
https://ow.ly/Oeov50OJOgT

Carrera de “corcholatas” de Morena, se volvió parejera | .::Diario Imagen On Line::.
2"
"['ElSoldeSinaloa_', 'rochamoya_']","El Sol de Sinaloa
@ElSoldeSinaloa_
·
22h
El senador acudió a un evento acompañado del gobernador 
@rochamoya_
 elsoldesinaloa.com.mx
Ricardo Monreal afirma no estar en desventaja contra las otras corcholatas de Morena
El político pidió licencia en el Senado para competir en las encuestas internas de Morena
30"
['880noticias'],"Ocho Ochenta Noticias
@880noticias
·
22h
CDMX. - La jefa de Gobierno de Ciudad de México, Claudia Sheinbaum, reveló que ya hay acuerdo entre las corcholatas de cara a la sesión del Consejo Político Nacional de Morena de este domingo.

La mandataria también dio a conocer que la dirigencia del

https://880noticias.info/uncategorized/revela-sheinbaum-acuerdo-con-corcholatas/…
20"
['eleconomista'],"El Economista
@eleconomista
·
8 jun.
El proselitismo adelantado de Morena a la Presidencia de #México atenta contra las reglas electorales y distorsiona la equidad en la contienda de 2024. 
eleconomista.com.mx
Politólogos ven que proselitismo de corcholatas afecta equidad hacia 2024
Politólogos advierten que la promoción temprana de aspirantes de Morena a la Presidencia de México atenta contra las reglas electorales y distorsiona la equidad en la contienda de 2024.
1
4
6
3.069"
"['Marurojasreport', 'LaTequilerashow', 'Marurojasreport', 'LaTequilerashow']","Marurojasreportera
@Marurojasreport
·
8 jun.
LA RETAGUARDIA / CARRERA DE “CORCHOLATAS” DE MORENA, SE VOLVIÓ PAREJERA 
@LaTequilerashow
 #Juev… https://marurojasreportera.com/la-retaguardia-carrera-de-corcholatas-de-morena-se-volvio-parejera-latequilerashow-juevesdemascolumnas/… a través de 
@Marurojasreport
marurojasreportera.com
LA RETAGUARDIA / CARRERA DE “CORCHOLATAS” DE MORENA, SE VOLVIÓ PAREJERA @LaTequilerashow #JuevesD...
ADRIANA MORENO CORDERO · Carrera de “corcholatas” de More
1
2
2
72"
['Enrique32057005'],"Enrique Estrada
@Enrique32057005
·
9 jun.
Morena le pide a sus corcholatas en Veracruz ""calma"" y ""esperar los tiempos”: Ramírez Zepeta
https://tribunalibrenoticias.com/2023/06/morena-le-pide-sus-corcholatas-en.html…
12"
"['RafagaChihuahua', 'RafagaChihuahua']","Rafaga Chihuahua
@RafagaChihuahua
·
8 jun.
Ya es oficial: Manuel Velasco se une a las “corcholatas” de Morena https://rafagachihuahua.com/2023/06/08/ya-es-oficial-manuel-velasco-se-une-a-las-corcholatas-de-morena/… 
via 
@RafagaChihuahua
 #Politica #Nacionales
15"
['Inteli_Mas'],"InteligenciaMás
@Inteli_Mas
·
9 jun.
Listo nuestro #reporte #semanal 

#Elecciones estatales 2023, #eliminación de NOMs en materia de salud, #sucesión presidencial, reunión con corcholatas y gobernadores de MORENA,  #reforma al Poder Judicial, Ley del Mercado de Valores. 

!Consúltalo!

https://linkedin.com/posts/inteligenciamas_intmas-sucesos-relevantes-mexico-5-9-de-activity-7073088768303394816-vlVO?utm_source=share&utm_medium=member_ios…
2
1
60"
['PolitikaMex'],"Politicaonline
@PolitikaMex
·
8 jun.
 Presidente del Consejo Nacional de Morena, pedirá que las corcholatas renuncien a sus cargos
informe24.mx
Presidente del Consejo Nacional de Morena, pedirá que las corcholatas renuncien a sus cargos -...
El presidente del Consejo Nacional de Morena, Alfonso Durazo, adelantó que la sesión extraordinaria del próximo domingo 11 de junio propondrá que las “corcholatas”, como se denomina a los aspirantes...
5
2
29"
"['Fausto_Marq_', 'LucyMezaGzm', 'guillermocinta']","Fausto Marquez
@Fausto_Marq_
·
11h
.
@LucyMezaGzm
 propone a la dirigencia nacional de #morena la firma de un pacto de unidad entre los aspirantes que se inscriban para competir por la candidatura presidencial.
#LucyMeza #LucyVa #Morelos Vía: 
@guillermocinta
guillermocinta.com
""Corcholatas"" deberán comprometerse a evitar rupturas en Morena; Lucy Meza Guzmán - La Crónica de...
Al proponerle a la dirigencia nacional de Morena la firma de un pacto de unidad entre los aspirantes que se inscriban para competir por la candidatura presidencial, la Senadora Lucy Meza, aseguró que...
17"
"['24HorasChiapas', 'Claudiashein', 'm_ebrard', 'adan_augusto', 'RicardoMonrealA', 'fernandeznorona']","24 Horas Chiapas
@24HorasChiapas
·
9 jun.
#Política | El domingo arrancará la sucesión presidencial en Morena; en la reunión estarán sus principales figuras, incluyendo corcholatas, gobernadores y senadores.
@Claudiashein
 
@m_ebrard
 
@adan_augusto
 
@RicardoMonrealA
 
@fernandeznorona
24horaschiapas.mx
Pule la 4T su plan rumbo al 2024 - 24 Horas Chiapas
Este domingo arrancará la sucesión presidencial en Morena, con un cónclave en el que estarán sus principales figuras, incluyendo corcholatas, gobernadores y senadores, con el objetivo de definir el...
25"
"['El_Universal_Mx', 'MarioMal']","El Universal
@El_Universal_Mx
·
7 jun.
El canciller es un animal político y sabía que su renuncia pondría a la dirigencia de Morena con la presión a tope para pedir a las otras “corcholatas” (...) que renuncien a sus cargos para que efectivamente haya un piso parejo. #Opinión de 
@MarioMal
 eluniversal.com.mx
Ebrard alborota la sucesión y su relevo
El canciller sabía que su renuncia pondría a la dirigencia de Morena con la presión a tope
5
15
30
9.556"
"['CentralEq', 'Spreaker']","Central Equilibrio
@CentralEq
·
8 jun.
 New Podcast! ""Primera emisión | 08 Junio 2023"" on 
@Spreaker
 #4t #adrianabraniff #aliados #centralfm #centrallive #colmex #corcholatas #diputados #elecciones #guadalupeacosta #morena #oposicion #pedroferriz #presidencia #primarias #reynaldoortega
spreaker.com
Primera emisión | 08 Junio 2023
Xóchitl Gálvez Senadora del PAN comenta sobre la resolución en la que un juez le otorga el derecho de réplica en la mañanera, Guadalupe Acosta Naranjo nos habla de las pautas a seguir por la sociedad
2
2
252"
['Afuegolentonews'],"A Fuego Lento Noticias
@Afuegolentonews
·
9 jun.
#Opinión| Ruta 2024: #Ebrard fractura a #Morena

El anuncio anticipado de su salida de la SRE movió la agenda de Morena, la de su dirigencia nacional y las otras corcholatas, provocando enojos y reclamos

Para más información:
afuegolentonoticias.com
Ruta 2024: Ebrad fractura a Morena
El anuncio anticipado de su salida de la SRE movió la agenda de Morena, la de su dirigencia nacional y las otras corcholatas, provocando enojos y reclamos
1
2
37"
"['Jjlopez_almejo', 'lopezobrador_', 'Polemista4T']","Jesús López Almejo
@Jjlopez_almejo
·
5 jun.
Qué vergüenza de candidato. En #Coahuila se pintó el escenario que le puede suceder a #Morena en México cuando termine el efecto 
@lopezobrador_
 
Este tipo de candidatos, al que ni las corcholatas pudieron hacer que compitiera decentemente, deben evitarse en adelante. Aviso
Polemista 4T
@Polemista4T
·
4 jun.
#LAMENTABLE
 Armando Guadiana reconoce que no denunció en su campaña la corrupción de Manolo Jiménez del PRI porque es amigo de él y de su familia

 Además dice que no volverá pronto al Senado porque se va de vacaciones a España para ver corridas de toros

#Coahuila
37
159
374
13 mil"
['VivoNoticiasMX'],"Vivo Noticias
@VivoNoticiasMX
·
23h
Hay acuerdo entre 'corcholatas', adelanta Sheinbaum

Este domingo, se realizará el Consejo Político Nacional de Morena. Estarán presentes sus aspirantes a la presidencia de México

https://vivonoticias.mx/notas/nota.php?id_n=89392…
48"
['ObservadorTij'],"ElObservadorDiario
@ObservadorTij
·
11h
Califica #Ebrard actitud de gobernadoras y gobernadores como producto de una #malaherencia del #PRI
Más información: https://observadordiario.com/6TGo
#Corcholatas,#MORENA,#CargadaOficial,
#ConsejoNacional,#LopezObrador
observadordiario.com
Marcelo Ebrard lamentó cargada oficial a favor Sheinbaum » El Observador Diario de Tijuana
Marcelo Ebrard lamentó lo que calificó de ""cargada oficial"" de gobernadores a favor de otras corcholatas presidenciales como Claudia Sheinbaum.
24"
